APN,BATHROOMS,BEDROOMS,COUNTY_x,COUNTY_LANDUSE_DESCRIPTION_x,EXISTING_LANDUSE_x,JURISDICTION_x,LOCATION_TO_TOWNCENTER_x,Max_Occupancy,OWNERSHIP_TYPE_x,REGIONAL_LANDUSE_x,Rental_Type,WITHIN_BONUSUNIT_BNDY_x,WITHIN_TRPA_BNDY_x,YEAR_BUILT_x,ZONING_DESCRIPTION_x,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,YEAR
123-281-02,2,3,WA,Condominium or Townhouse,Condominium,WA,Town Center,8,Private,Tourist,VHR,1,1,1999,Crystal Bay Tourist,0,0,0,2022
123-293-01,3.5,3,WA,Condominium or Townhouse,Condominium,WA,Town Center,4,Private,Tourist,VHR,1,1,2018,Crystal Bay Tourist,0,0,0,2022
123-294-05,2.5,2,WA,Condominium or Townhouse,Condominium,WA,Town Center,4,Private,Tourist,VHR,1,1,2018,Crystal Bay Tourist,0,0,0,2022
123-295-01,4.5,4,WA,Condominium or Townhouse,Condominium,WA,Town Center,8,Private,Tourist,VHR,1,1,2018,Crystal Bay Tourist,0,0,0,2022
123-295-02,3.5,3,WA,Condominium or Townhouse,Condominium,WA,Town Center,4,Private,Tourist,VHR,1,1,2018,Crystal Bay Tourist,0,0,0,2022
123-295-04,2.5,2,WA,Condominium or Townhouse,Condominium,WA,Town Center,4,Private,Tourist,VHR,1,1,2018,Crystal Bay Tourist,0,0,0,2022
123-295-06,4.5,4,WA,Condominium or Townhouse,Condominium,WA,Town Center,4,Private,Tourist,VHR,1,1,2018,Crystal Bay Tourist,0,0,0,2022
124-860-06,2.5,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,5,Private,Residential,VHR,1,1,2018,Incline Village Residential,0,0,0,2022
124-860-07,2.5,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,5,Private,Residential,VHR,1,1,2018,Incline Village Residential,0,0,0,2022
126-152-22,2.5,3,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,8,Private,Residential,VHR,1,1,1971,Mt. Shadows,0,0,0,2022
126-161-01,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,4,Private,Residential,VHR,1,1,1980,Mt. Shadows,0,0,0,2022
126-161-12,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,4,Private,Residential,VHR,1,1,1980,Mt. Shadows,0,0,0,2022
126-162-08,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,8,Private,Residential,VHR,1,1,1980,Mt. Shadows,0,0,0,2022
