APN,Unit Change,Type,Source,HH Income Category,Occupancy_Rate,Jurisdiction,Unit_Pool
014-242-008,1,Known Project - permitted not completed,Residential Allocation,High,0.35,EL,General
015-263-012,1,Known Project - permitted not completed,Residential Allocation,High,0.35,EL,General
015-370-028,1,Known Project - permitted not completed,Residential Allocation,High,0.35,EL,General
016-091-008,1,Known Project - permitted not completed,Residential Allocation,High,0.35,EL,General
021-201-016,-3,Known Banking in 2023-2024,Single-Family Residential Unit of Use (SFRUU),,,TRPA,General
022-182-045,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
023-151-030,1,Known Project - Permitted Not Completed,Residential Bonus Unit,Achievable,1.00,TRPA,Bonus Unit
023-152-006,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
023-182-026,1,Known Project - Permitted Not Completed,ADU - Banked Single-Family Residential Unit of Use (SFRUU),Medium,1.00,TRPA,ADU
023-182-028,3,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
023-231-003,70,Known Project - Reserved Units for Applications in Review,Residential Bonus Unit,Achievable,1.00,TRPA,Bonus Unit
023-271-010,8,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
023-571-005,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
023-633-008,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
023-655-012,1,Known Project - Permitted Not Completed,Residential Bonus Unit,Achievable,1.00,TRPA,Bonus Unit
023-741-001,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
025-041-023,40,Known Project - Permitted Not Completed,Residential Bonus Unit,Affordable,1.00,CSLT,Bonus Unit
025-041-023,1,Known Project - Permitted Not Completed,Residential Bonus Unit,Achievable,1.00,CSLT,Bonus Unit
025-263-008,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
025-282-018,2,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
025-354-008,1,Known Project - permitted not completed,Residential Allocation,High,0.35,EL,General
025-375-032,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
026-037-001,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
026-061-006,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
026-077-017,2,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
026-092-026,1,Known Project - Permitted Not Completed,ADU - Converted Single-Family Residential Unit of Use (SFRUU),Medium,1.00,TRPA,ADU
026-094-026,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
026-095-008,2,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
026-104-005,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
026-122-036,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
026-122-036,1,Known Project - Permitted Not Completed,ADU - Banked Single-Family Residential Unit of Use (SFRUU),Medium,1.00,TRPA,ADU
026-124-018,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
026-152-002,1,Known Project - Permitted Not Completed,Residential Bonus Unit,Affordable,1.00,TRPA,Bonus Unit
027-111-004,1,Known Project - Permitted Not Completed,ADU - Banked Single-Family Residential Unit of Use (SFRUU),Medium,1.00,TRPA,ADU
027-144-016,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
027-233-034,1,Known Project - Permitted Not Completed,ADU - Converted Single-Family Residential Unit of Use (SFRUU),Medium,1.00,TRPA,ADU
027-234-005,1,Known Project - Permitted Not Completed,ADU - Converted Single-Family Residential Unit of Use (SFRUU),Medium,1.00,TRPA,ADU
027-351-007,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
027-351-008,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
027-355-008,-1,Known Banking in 2023-2024,Single-Family Residential Unit of Use (SFRUU),,,TRPA,General
028-141-039,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
028-221-030,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
029-095-029,1,Known Project - permitted not completed,Residential Allocation,High,0.35,CSLT,General
029-170-001,75,Known Project - Reserved Units for Applications in Review,Residential Bonus Unit,Affordable,1.00,TRPA,Bonus Unit
