,Instructions
1. Assign Known Projects,
Assign using Lookup_Lists\forecast_residential_assigned_units.csv: ,Keep
"Known Residential Allocations from 2023-2025,",Keep
"Known Residential Bonus Units from permitted projects,",Keep
"applications in review, and",Keep
RBU reservations in LT Info,Keep
Known Accessory Dwelling permits not completed,Keep
Remove Known Banking projects that removed units in 2023-2025,Keep
Calcuate Remaining local jurisdiction pool units less units used for known projects,Keep
2. Assign Residential Bonus Units within Bonus Unit Boundary,
Full build out of CTC Asset Lands using jurisdiction bonus unit pools,Keep
Identify vacant buildable lots within Bonus Unit boundary,Keep
Assign remaining jurisdiction pool units to available parcels within jurisidiction,Keep
3. Assigne remaining Jurisdiction Residential Bonus and General Units,
"Identify Vacant buildable lots with allowed Multi-family use, calculate allowed density",
Assign 15% of remaining local jurisdiction Residential Allocation pool units to available multi-family parcels within jurisidiction,Keep
Assign 35% of remaining Banked units to available multi-family parcels (use adjusted weighting from existing residential units?),Keep
Assign 35% of remaining Converted units to available multi-family parcels (use adjusted weighting from existing residential units?),Keep
4. Assign remaining TRPA pool units to available parcels throughout region (use adjusted weighting from existing residential units?),Keep
Evaluate Vacant Buildable Lots with Single-family Residential Allowed Use,Keep
Identify Vacant buildable lots with allowed Single-family use,Keep
"Identify Accessory Dwelling Uses Allowed (All California Parcels, Washoe County parcels and remaining NV Parcels Greater than 1 Acre)",Change per bold - WTAP passed since RTP/SCS
Evaluate Underbuilt parcels with Multi-family Residential Allowed Use,Keep
Identify Underbuilt Residential lots with allowed Multi-family use,Keep
"Identify Accessory Dwelling Uses Allowed (All California Parcels, Washoe County parcels and remaining NV Parcels Greater than 1 Acre)",Change per bold - WTAP passed since RTP/SCS
Identify parcels that are in Town Centers or within a quarter mile and are top x% of underbuilt parcels.,Keep
Underbuilt = exclude existing condo and common area land uses. sf mf or mixed use,Keep
"ADU potential = exclude existing condo or common area land uses, and wait to use any NV parcels>acre.",Change?
